Log created: 2023-04-10 09:32:54
Type: backup
[2023-04-10 09:33:06][notice]Preparing to dump table wp_gla_budget_recommendations
[2023-04-10 09:33:06][notice]Preparing to dump table wp_actionscheduler_actions
[2023-04-10 09:33:07][notice]Preparing to dump table wp_posts
[2023-04-10 09:33:07][notice]Preparing to dump table wp_mailpoet_newsletter_templates
[2023-04-10 09:33:07][notice]Preparing to dump table wp_postmeta
[2023-04-10 09:33:07][notice]Preparing to dump table wp_wfconfig
[2023-04-10 09:33:07][notice]Preparing to dump table wp_wfknownfilelist
[2023-04-10 09:33:08][notice]Preparing to dump table wp_options
[2023-04-10 09:33:09][notice]Preparing to dump table wp_wffilemods
[2023-04-10 09:33:11][notice]Exporting database finished.
[2023-04-10 09:33:11][notice]Start compressing database
[2023-04-10 09:33:12][notice]Prepare to zip file. file: localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_db.sql
[2023-04-10 09:33:13][notice]Adding zip files completed.localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_db.part001.zip, filesize: 6.75 MB
[2023-04-10 09:33:14][notice]Compressing database completed
[2023-04-10 09:33:14][notice]Backing up backup_db completed.
[2023-04-10 09:33:14][notice]Prepare to backup backup_themes files.
[2023-04-10 09:33:17][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_themes.part001.zip index:1883
[2023-04-10 09:34:06][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_themes.part001.zip success. index:1883 file size:59.42 MB
[2023-04-10 09:34:06][notice]Backing up backup_themes completed.
[2023-04-10 09:34:06][notice]Prepare to backup backup_plugin files.
[2023-04-10 09:35:02][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part001.zip index:15351
[2023-04-10 09:48:08][notice]Start backing up.
[2023-04-10 09:48:08][notice]server info fcgi:Off max execution time: 300 wp version:6.2 php version:8.2.0 db version:10.4.27 php ini:safe_mode: memory_limit:256M memory_get_usage:131.53 MB memory_get_peak_usage:132.55 MB extensions:PDO enabled curl enabled zlib enabled   is_multisite:0
[2023-04-10 09:48:08][notice]Prepare to backup backup_plugin files.
[2023-04-10 09:48:31][notice]Compressing zip file:localhost_perfumwordpress_wpvivid-6433d7c63a01f_2023-04-10-09-32_backup_plugin.part001.zip index:15351
